Fullname,Shortened,Abbreviated,Chapters
Genesis,Gen,Gen,50
Exodus,Exod,Exo,40
Leviticus,Lev,Lev,27
Numbers,Num,Num,36
Deuteronomy,Deut,Deu,34
Joshua,Josh,Jos,24
Judges,Judg,Jdg,21
Ruth,Ruth,Rut,4
1 Samuel,1 Sam,1Sa,31
2 Samuel,2 Sam,2Sa,24
1 Kings,1 Kgs,1Ki,22
2 Kings,2 Kgs,2Ki,25
1 Chronicles,1 Chr,1Ch,29
2 Chronicles,2 Chr,2Ch,36
Ezra,Ezr,Ezr,10
Nehemiah,Neh,Neh,13
Esther,Esth,Est,10
Job,Job,Job,42
Psalms,Ps,Psa,150
Proverbs,Prov,Pro,31
Ecclesiastes,Eccl,Ecc,12
Song of Solomon,Song,Sos,8
Isaiah,Isa,Isa,66
Jeremiah,Jer,Jer,52
Lamentations,Lam,Lam,5
Ezekiel,Ezek,Eze,48
Daniel,Dan,Dan,12
Hosea,Hos,Hos,14
Joel,Joel,Joe,3
Amos,Amos,Amo,9
Obadiah,Obad,Oba,1
Jonah,Jonah,Jon,4
Micah,Mic,Mic,7
Nahum,Nah,Nah,3
Habakkuk,Hab,Hab,3
Zephaniah,Zeph,Zep,3
Haggai,Hag,Hag,2
Zechariah,Zech,Zec,14
Malachi,Mal,Mal,4
Matthew,Matt,Mat,28
Mark,Mark,Mar,16
Luke,Luke,Luk,24
John,John,Joh,21
Acts,Acts,Act,28
Romans,Rom,Rom,16
1 Corinthians,1 Cor,1Co,16
2 Corinthians,2 Cor,2Co,13
Galatians,Gal,Gal,6
Ephesians,Eph,Eph,6
Philippians,Phil,Php,4
Colossians,Col,Col,4
1 Thessalonians,1 Thess,1Th,5
2 Thessalonians,2 Thess,2Th,3
1 Timothy,1 Tim,1Ti,6
2 Timothy,2 Tim,2Ti,4
Titus,Titus,Tit,3
Philemon,Phlm,Phm,1
Hebrews,Heb,Heb,13
James,Jas,Jam,5
1 Peter,1 Pet,1Pe,5
2 Peter,2 Pet,2Pe,3
1 John,1 John,1Jo,5
2 John,2 John,2Jo,1
3 John,3 John,3Jo,1
Jude,Jude,Jde,1
Revelation,Rev,Rev,22
